,cut,color,clarity,depth,carat,table,x,y,z,price
3564,Ideal,E,VS1,62.2,0.34,57.0,4.46,4.51,2.79,698
3565,Very Good,G,SI1,63.2,0.9,59.0,6.1,6.05,3.84,3669
3566,Very Good,I,SI1,60.9,1.01,63.0,6.51,6.43,3.94,2323
3567,Good,H,VVS2,60.4,0.71,63.0,5.69,5.74,3.45,2738
3568,Premium,I,VVS2,61.9,0.71,60.0,5.69,5.75,3.54,2428
3569,Very Good,E,SI2,62.4,0.91,58.0,6.11,6.14,3.82,3936
3570,Very Good,F,VS2,63.5,1.21,55.0,6.77,6.71,4.28,7928
3571,Premium,E,SI1,58.8,1.59,59.0,7.69,7.61,4.5,9705
3572,Ideal,F,VVS2,62.0,0.71,57.0,5.7,5.65,3.52,3499
3573,Ideal,F,SI1,61.0,0.5,56.0,5.15,5.17,3.15,1286
3574,Very Good,G,VS2,62.3,0.51,59.0,5.07,5.1,3.17,1438
3575,Premium,J,SI2,61.6,2.03,58.0,8.15,8.12,5.01,12380
3576,Ideal,H,SI1,62.1,0.75,57.0,5.82,5.78,3.6,2165
3577,Premium,H,SI2,60.4,1.15,58.0,6.8,6.75,4.09,3220
3578,Premium,E,VS2,62.5,0.52,60.0,5.14,5.1,3.2,1694
3579,Ideal,F,VS2,61.5,0.35,57.0,4.52,4.55,2.79,706
3580,Ideal,D,SI1,63.0,1.01,57.0,6.43,6.34,4.02,6097
3581,Premium,I,SI2,61.3,1.64,58.0,7.62,7.58,4.66,8743
3582,Good,E,SI1,63.6,0.51,59.0,5.13,5.06,3.24,1170
3583,Ideal,F,VS1,59.0,1.03,55.0,6.67,6.62,3.92,7752
3584,Premium,I,VVS2,61.5,0.73,58.0,5.78,5.73,3.54,2351
3585,Very Good,G,SI2,63.4,0.82,55.0,5.96,5.93,3.77,2232
3586,Ideal,G,SI1,61.8,0.3,56.0,4.34,4.37,2.69,477
3587,Premium,I,VVS1,62.6,0.58,59.0,5.31,5.27,3.31,1758
3588,Very Good,D,VS1,61.2,1.5,63.0,7.28,7.32,4.47,16407
3589,Premium,F,SI2,60.2,0.56,58.0,5.36,5.33,3.22,1715
3590,Very Good,G,VVS1,60.6,1.25,60.0,6.92,6.95,4.2,10962
3591,Good,E,SI2,59.9,1.0,63.0,6.45,6.5,3.88,4184
3592,Premium,H,VS1,61.9,0.75,61.0,5.85,5.82,3.61,2961
3593,Ideal,I,VS2,60.6,0.32,56.0,4.42,4.46,2.69,485
3594,Premium,G,VVS2,61.0,0.33,58.0,4.48,4.44,2.72,965
3595,Ideal,G,VS2,61.7,0.54,55.0,5.22,5.26,3.23,1401
3596,Premium,I,IF,63.0,0.72,57.0,5.72,5.7,3.6,2795
3597,Very Good,E,SI2,62.0,1.11,58.0,6.61,6.68,4.12,4769
3598,Ideal,G,VS1,62.0,1.1,58.0,6.59,6.64,4.1,8060
3599,Premium,H,VS2,59.7,1.09,58.0,6.73,6.66,4.0,5677
3600,Ideal,H,SI1,62.4,1.49,56.0,7.28,7.24,4.53,9132
3601,Very Good,F,SI2,63.3,0.47,59.0,4.9,4.86,3.09,1058
3602,Ideal,G,VS1,62.6,0.35,54.0,4.56,4.52,2.84,906
3603,Ideal,E,SI1,61.4,0.92,55.0,6.29,6.25,3.85,4183
3604,Ideal,F,VS2,61.9,1.12,55.0,6.73,6.68,4.15,7727
3605,Ideal,G,SI1,60.3,2.03,56.0,8.27,8.21,4.97,16224
3606,Premium,D,SI2,63.0,0.9,58.0,6.16,6.12,3.87,3473
3607,Ideal,H,VS1,62.0,0.6,53.0,5.44,5.46,3.38,1772
3608,Premium,I,SI1,60.6,1.12,60.0,6.77,6.73,4.09,4390
3609,Premium,J,SI2,60.0,1.1,58.0,6.77,6.66,4.03,3216
3610,Very Good,F,VVS2,60.5,0.4,57.0,4.76,4.79,2.89,1012
3611,Ideal,E,SI2,61.9,0.71,56.0,5.73,5.76,3.56,2458
3612,Ideal,D,SI1,61.5,1.06,56.0,6.58,6.55,4.04,6565
3613,Good,I,VVS2,57.8,0.59,61.0,5.52,5.6,3.21,1427
3614,Ideal,J,VS1,61.3,0.41,57.0,4.81,4.84,2.96,648
3615,Premium,D,SI2,60.3,1.34,59.0,7.16,7.11,4.3,5756
3616,Ideal,H,SI1,62.1,0.3,56.0,4.29,4.31,2.67,450
3617,Very Good,E,SI1,63.1,1.51,58.0,7.28,7.23,4.58,11565
3618,Ideal,F,VS1,61.3,0.3,55.0,4.36,4.32,2.66,731
3619,Fair,G,VS1,66.8,1.01,61.0,6.15,6.06,4.08,4864
3620,Fair,F,SI2,65.5,1.0,54.0,6.2,6.16,4.05,3864
3621,Very Good,H,VS2,62.8,0.38,56.0,4.59,4.62,2.89,700
3622,Premium,J,SI2,59.7,3.01,58.0,9.41,9.32,5.59,18710
3623,Ideal,G,VVS1,60.5,1.16,57.0,6.78,6.83,4.12,9075
3624,Ideal,E,SI1,61.7,0.76,57.0,5.84,5.89,3.62,2949
3625,Ideal,F,VS2,61.0,0.51,57.0,5.16,5.11,3.13,1619
3626,Very Good,D,VVS2,60.5,0.31,56.0,4.38,4.41,2.66,1009
3627,Very Good,H,SI1,58.7,0.3,63.0,4.37,4.32,2.55,504
3628,Good,D,VS2,63.4,0.41,54.0,4.74,4.79,3.02,873
3629,Ideal,H,VS1,61.1,0.38,55.0,4.68,4.72,2.87,721
3630,Premium,H,SI2,63.0,1.01,59.0,6.33,6.27,3.97,3671
3631,Premium,G,VS2,62.3,0.32,60.0,4.37,4.4,2.73,561
3632,Very Good,E,VVS1,60.5,0.42,55.0,4.85,4.9,2.95,1365
3633,Premium,E,VS1,61.2,1.59,58.0,7.58,7.49,4.61,17552
3634,Ideal,F,SI1,61.5,0.7,57.0,5.67,5.74,3.51,2528
3635,Ideal,F,VVS2,61.7,0.57,56.0,5.31,5.35,3.29,2402
3636,Very Good,I,VS2,62.6,1.16,59.0,6.63,6.69,4.17,4869
3637,Ideal,G,VVS1,62.6,0.51,57.0,5.08,5.14,3.2,2005
3638,Ideal,G,VVS1,61.8,0.32,54.0,4.4,4.43,2.73,814
3639,Ideal,F,VS2,60.8,0.57,57.0,5.34,5.37,3.25,1869
3640,Very Good,F,VS2,62.7,0.5,56.0,5.04,5.07,3.17,1396
3641,Ideal,D,SI1,63.0,1.54,54.0,7.33,7.28,4.6,10694
3642,Good,H,VVS2,60.9,0.54,57.2,5.22,5.26,3.19,1883
3643,Premium,H,VVS1,61.8,0.3,58.0,4.36,4.32,2.68,878
3644,Good,G,IF,63.5,0.39,56.0,4.65,4.67,2.96,1213
3645,Ideal,H,VVS2,61.8,0.54,56.0,5.25,5.27,3.25,1696
3646,Ideal,F,VS2,61.4,0.37,56.0,4.63,4.59,2.83,957
3647,Ideal,H,VS2,61.6,0.39,56.0,4.68,4.71,2.89,788
3648,Very Good,D,VS1,61.2,0.43,58.0,4.82,4.88,2.97,1199
3649,Very Good,J,SI1,62.6,0.51,59.0,5.06,5.1,3.18,930
3650,Premium,G,VS1,61.8,0.32,60.0,4.36,4.35,2.69,828
3651,Good,J,VS2,63.6,1.7,59.0,7.53,7.48,4.77,8282
3652,Ideal,H,SI2,60.1,1.01,60.0,6.54,6.5,3.92,4131
3653,Premium,E,SI2,60.5,0.4,59.0,4.78,4.74,2.88,821
3654,Ideal,E,VVS1,61.3,0.31,56.0,4.39,4.43,2.7,1064
3655,Very Good,D,SI1,60.2,0.42,57.0,4.85,4.89,2.93,756
3656,Premium,G,SI2,62.3,2.01,60.0,8.04,7.97,4.99,15147
3657,Good,G,VS2,63.6,0.31,56.0,4.29,4.26,2.72,698
3658,Very Good,E,VS2,61.4,0.53,55.0,5.21,5.24,3.21,1607
3659,Ideal,G,VS2,63.0,0.31,54.0,4.37,4.33,2.74,698
3660,Ideal,F,SI2,60.0,2.01,56.0,8.17,8.22,4.92,17220
3661,Premium,E,SI1,61.5,0.5,62.0,5.09,5.06,3.12,1415
3662,Very Good,H,VS1,62.8,1.57,60.0,7.36,7.44,4.65,11605
3663,Ideal,D,VVS2,62.0,0.31,56.0,4.37,4.34,2.7,982
3664,Ideal,F,SI2,62.4,1.01,54.0,6.41,6.44,4.01,5154
3665,Ideal,F,SI1,63.0,1.0,56.0,6.41,6.38,4.03,5656
3666,Good,F,VS1,63.7,0.7,55.0,5.56,5.61,3.56,2724
3667,Very Good,E,SI1,61.0,0.41,61.0,4.74,4.77,2.9,725
3668,Ideal,J,VS2,62.1,0.66,55.0,5.6,5.64,3.49,1316
3669,Ideal,I,VS2,61.8,1.56,56.0,7.41,7.45,4.59,10333
3670,Ideal,I,SI1,61.6,1.1,55.0,6.66,6.68,4.11,5199
3671,Good,G,SI1,64.2,1.5,58.0,7.14,7.2,4.6,10428
3672,Very Good,E,SI1,62.9,1.01,58.0,6.35,6.41,4.01,5499
3673,Good,E,SI2,64.7,2.0,57.0,7.75,7.86,5.05,15393
3674,Very Good,D,VS2,61.2,1.0,61.0,6.35,6.39,3.9,6190
3675,Premium,E,SI1,61.4,0.72,57.0,5.83,5.73,3.55,2476
3676,Very Good,G,VS2,60.9,0.33,56.0,4.46,4.5,2.73,579
3677,Premium,I,VVS2,61.8,0.3,58.0,4.28,4.33,2.66,526
3678,Very Good,D,SI1,63.2,0.52,57.0,5.11,5.15,3.24,1446
3679,Premium,G,SI1,62.8,0.7,58.0,5.66,5.62,3.54,2352
3680,Premium,J,VS1,59.6,0.7,62.0,5.77,5.7,3.42,1953
3681,Ideal,I,VS2,63.0,0.32,55.0,4.39,4.34,2.75,576
3682,Good,G,SI2,57.9,1.5,61.0,7.47,7.51,4.34,8144
3683,Premium,I,VS2,61.7,0.38,59.0,4.6,4.64,2.85,633
3684,Ideal,H,SI1,62.3,0.36,53.0,4.57,4.61,2.86,538
3685,Very Good,I,SI1,63.4,1.01,62.0,6.25,6.18,3.94,4072
3686,Good,G,VS1,57.3,1.02,59.0,6.71,6.65,3.83,5706
3687,Ideal,F,VVS2,62.6,0.51,57.0,5.13,5.1,3.2,2203
3688,Ideal,E,VS1,61.9,0.41,55.0,4.8,4.76,2.96,1153
3689,Ideal,H,VS2,61.5,0.34,54.0,4.54,4.5,2.78,689
3690,Ideal,G,VS2,61.8,0.51,55.0,5.15,5.18,3.19,1557
3691,Very Good,G,VVS1,62.9,0.27,55.0,4.13,4.15,2.6,566
3692,Very Good,I,VS2,63.1,0.9,57.0,6.12,6.09,3.85,3473
3693,Premium,G,SI1,61.8,0.36,60.0,4.57,4.53,2.81,689
3694,Ideal,D,SI2,62.2,0.88,56.0,6.12,6.16,3.82,3962
3695,Ideal,E,VS1,62.5,0.72,57.0,5.73,5.76,3.59,3465
3696,Premium,G,VS2,60.9,0.33,56.0,4.5,4.46,2.73,743
3697,Ideal,H,SI2,60.5,0.92,57.0,6.3,6.29,3.81,3854
3698,Good,F,VS2,63.5,0.7,56.0,5.64,5.45,3.52,2212
3699,Ideal,E,SI1,61.8,0.38,53.8,4.63,4.67,2.88,693
3700,Premium,E,SI1,61.4,0.71,58.0,5.77,5.73,3.53,2817
3701,Very Good,H,SI1,62.7,1.19,61.0,6.66,6.73,4.2,5595
3702,Premium,H,VS2,61.9,1.01,62.0,6.45,6.37,3.97,4559
3703,Ideal,D,SI1,61.7,0.41,54.0,4.79,4.78,2.95,1015
3704,Ideal,E,SI2,60.6,0.54,57.0,5.25,5.28,3.19,1246
3705,Ideal,J,VS2,62.4,1.51,57.0,7.35,7.3,4.57,7651
3706,Good,F,VS2,63.3,0.5,58.0,4.98,5.03,3.17,1436
3707,Ideal,E,SI1,58.9,1.03,57.0,6.62,6.56,3.88,4873
3708,Very Good,F,VVS2,61.5,0.52,57.0,5.18,5.22,3.19,2079
3709,Ideal,H,VS2,60.6,1.64,57.0,7.71,7.67,4.66,12561
3710,Good,G,VVS1,63.6,1.02,58.0,6.4,6.37,4.06,8005
3711,Premium,F,VS2,59.5,0.32,60.0,4.48,4.46,2.66,773
3712,Ideal,G,VS1,61.9,0.43,55.0,4.84,4.86,3.0,943
3713,Very Good,G,SI2,63.1,1.02,60.0,6.41,6.34,4.02,4370
3714,Ideal,F,SI1,61.7,0.9,57.0,6.25,6.2,3.84,4657
3715,Ideal,E,VS1,61.1,0.5,58.0,5.12,5.08,3.11,2034
3716,Ideal,H,VVS2,61.2,0.32,56.0,4.43,4.4,2.7,828
3717,Premium,G,VS1,60.4,0.31,59.0,4.41,4.37,2.65,695
3718,Premium,H,VS1,62.1,1.31,58.0,6.98,6.97,4.33,5722
3719,Very Good,G,VS1,62.8,0.33,58.0,4.38,4.41,2.76,666
3720,Premium,G,VS1,62.2,1.22,59.0,6.87,6.82,4.26,8739
3721,Very Good,E,VS1,60.7,0.7,57.0,5.72,5.75,3.48,3358
3722,Very Good,G,VS2,62.8,0.59,56.0,5.3,5.34,3.34,1556
3723,Ideal,I,VS1,61.1,0.44,56.0,4.92,4.96,3.02,807
3724,Very Good,E,SI1,63.5,0.9,55.0,6.22,6.12,3.92,3508
3725,Premium,E,VS1,60.0,0.31,59.0,4.42,4.38,2.64,942
3726,Ideal,H,VS1,61.6,0.72,55.0,5.76,5.8,3.56,3133
3727,Ideal,D,SI1,62.8,1.05,57.0,6.46,6.48,4.06,5914
3728,Ideal,I,SI1,60.9,0.32,55.0,4.45,4.48,2.72,404
3729,Premium,G,VS1,60.5,0.56,59.0,5.31,5.26,3.2,1915
3730,Very Good,I,SI2,62.6,1.02,56.0,6.41,6.44,4.02,4084
3731,Ideal,F,SI1,62.5,0.38,53.7,4.64,4.66,2.91,693
3732,Ideal,H,VS2,62.5,0.9,53.0,6.17,6.22,3.87,4369
3733,Ideal,G,IF,61.7,0.43,57.0,4.83,4.86,2.99,1286
3734,Ideal,F,VVS2,62.7,0.53,56.0,5.16,6.2,3.25,2030
3735,Ideal,D,SI1,61.8,0.5,55.0,5.11,5.15,3.17,1848
3736,Premium,G,VS2,61.2,0.34,58.0,4.46,4.5,2.74,596
3737,Ideal,E,VVS1,61.5,0.25,55.0,4.09,4.12,2.52,705
3738,Fair,J,VS2,67.4,0.7,58.0,5.34,5.37,3.61,1896
3739,Very Good,H,VS1,62.2,1.06,59.0,6.47,6.52,4.04,5456
3740,Very Good,E,VVS2,61.7,0.26,61.0,4.08,4.12,2.53,564
3741,Ideal,G,SI1,61.4,0.36,55.0,4.61,4.64,2.84,571
3742,Fair,F,SI1,64.7,0.4,58.0,4.67,4.63,3.01,857
3743,Premium,G,SI1,60.2,0.55,59.0,5.32,5.28,3.19,1848
3744,Very Good,E,IF,60.3,0.7,59.0,5.72,5.76,3.46,4679
3745,Ideal,E,SI1,61.0,1.53,55.0,7.44,7.49,4.55,11470
3746,Ideal,F,VVS2,62.2,0.58,56.0,5.32,5.36,3.32,2567
3747,Ideal,F,VS2,61.9,0.4,55.0,4.77,4.73,2.94,975
3748,Premium,F,SI1,59.1,1.01,59.0,6.56,6.5,3.86,4989
3749,Premium,E,SI2,61.5,1.5,59.0,7.3,7.23,4.47,8064
3750,Ideal,E,VS2,62.2,0.59,58.0,5.35,5.39,3.34,1838
3751,Ideal,E,VS2,61.9,1.07,56.0,6.55,6.58,4.06,9177
3752,Good,F,SI1,63.5,0.3,57.0,4.24,4.27,2.7,500
3753,Very Good,G,SI1,61.3,1.54,59.0,7.38,7.41,4.53,10036
3754,Ideal,I,SI2,62.3,2.08,56.0,8.16,8.22,5.1,15132
3755,Premium,F,IF,62.6,0.41,58.0,4.73,4.76,2.97,1439
3756,Premium,G,SI2,61.3,0.77,58.0,5.94,5.88,3.62,2129
3757,Ideal,I,VS1,61.9,0.27,55.0,4.16,4.18,2.58,432
3758,Ideal,E,SI1,62.2,0.93,55.0,6.24,6.27,3.89,4374
3759,Ideal,E,VVS2,62.0,0.41,56.0,4.72,4.76,2.94,1187
3760,Premium,H,SI1,62.5,0.3,57.0,4.29,4.25,2.67,554
3761,Ideal,E,SI2,62.2,2.0,57.0,8.11,8.09,5.04,16650
3762,Ideal,F,VVS2,60.8,0.55,56.0,5.27,5.32,3.22,2294
3763,Fair,I,SI1,66.3,1.0,61.0,6.08,6.03,4.01,2875
3764,Premium,E,I1,62.3,0.93,60.0,6.23,6.2,3.87,2647
3765,Ideal,I,VS1,61.3,0.31,54.0,4.39,4.46,2.7,502
3766,Very Good,I,SI1,62.9,1.21,56.0,6.73,6.79,4.25,5245
3767,Very Good,G,VVS2,62.1,0.31,56.0,4.27,4.33,2.67,707
3768,Very Good,E,VVS1,62.5,0.23,54.0,3.94,3.96,2.47,478
3769,Ideal,D,VS2,61.5,0.3,55.0,4.3,4.35,2.66,710
3770,Very Good,E,VS2,60.0,1.02,59.0,6.54,6.59,3.94,6915
3771,Premium,D,VS1,61.3,0.53,58.0,5.27,5.2,3.21,2321
3772,Premium,H,SI1,61.5,0.72,59.0,5.71,5.67,3.5,2376
3773,Premium,J,VVS1,61.4,0.72,61.0,5.77,5.7,3.52,2203
3774,Ideal,G,IF,62.0,0.41,55.0,4.8,4.81,2.98,1425
3775,Ideal,E,IF,61.5,0.31,56.0,4.35,4.4,2.69,1214
3776,Premium,G,VS2,62.1,1.09,57.0,6.6,6.55,4.08,5098
3777,Good,D,VVS2,63.7,1.01,57.0,6.29,6.36,4.03,8943
3778,Very Good,I,VVS1,61.2,0.3,60.0,4.27,4.29,2.62,552
3779,Ideal,G,VS1,62.2,0.86,57.0,6.05,6.1,3.78,4420
3780,Very Good,E,SI1,61.5,0.58,58.0,5.31,5.36,3.28,1424
3781,Very Good,G,SI1,63.1,1.03,57.0,6.45,6.41,4.06,4764
3782,Very Good,F,VS1,62.9,0.4,58.0,4.67,4.71,2.95,982
3783,Ideal,D,VS1,60.1,0.31,57.0,4.39,4.4,2.64,913
3784,Premium,E,SI2,61.7,1.21,59.0,6.83,6.78,4.2,5920
3785,Very Good,D,SI2,61.1,0.38,58.0,4.62,4.68,2.84,633
3786,Very Good,G,SI2,63.2,0.7,57.0,5.7,5.66,3.59,2117
3787,Premium,D,SI2,58.3,1.13,60.0,6.83,6.78,3.97,3883
3788,Ideal,F,VS2,60.9,1.78,56.0,7.85,7.88,4.79,18128
3789,Premium,F,VS2,62.1,0.71,58.0,5.67,5.7,3.53,2777
3790,Ideal,H,VVS2,61.7,0.31,55.8,4.35,4.39,2.69,652
3791,Premium,G,VS1,59.5,1.21,58.0,6.97,7.01,4.16,8305
3792,Ideal,E,VS2,61.6,1.01,57.0,6.43,6.46,3.97,7198
3793,Good,E,VS1,59.9,0.43,61.0,4.89,4.93,2.94,970
3794,Very Good,E,VVS2,60.9,0.26,58.0,4.13,4.15,2.52,584
3795,Very Good,D,SI2,58.7,1.5,57.0,7.42,7.48,4.37,9009
3796,Premium,H,VS2,60.8,2.11,61.0,8.32,8.28,5.05,16395
3797,Very Good,J,VS2,61.5,2.1,60.7,8.16,8.21,5.03,13340
3798,Fair,F,VS2,65.3,1.5,57.0,7.15,7.12,4.66,13853
3799,Very Good,H,VS1,63.5,1.01,56.0,6.32,6.27,4.0,4412
3800,Ideal,G,VVS2,61.9,0.58,57.0,5.36,5.33,3.31,2245
3801,Premium,I,VS1,62.6,1.22,57.4,6.76,6.8,4.24,6763
3802,Ideal,G,VS1,61.5,0.38,57.0,4.66,4.71,2.88,794
3803,Premium,D,VVS1,61.4,0.54,57.5,5.25,5.28,3.23,3194
3804,Premium,I,SI2,63.0,1.31,58.0,6.97,6.93,4.38,5612
3805,Ideal,G,VS2,62.1,1.24,56.0,6.87,6.91,4.28,8504
3806,Ideal,D,VS2,61.1,0.36,57.0,4.6,4.63,2.82,928
3807,Very Good,F,IF,62.5,0.3,56.0,4.27,4.3,2.68,886
3808,Ideal,D,VS2,61.1,0.3,56.0,4.32,4.36,2.65,710
3809,Good,E,SI2,62.8,1.02,64.0,6.36,6.32,3.98,3838
3810,Ideal,F,VVS2,62.4,0.51,57.0,5.12,5.08,3.18,2203
3811,Ideal,D,IF,60.7,0.59,58.0,5.45,5.49,3.32,4161
3812,Ideal,H,SI1,60.2,1.1,56.0,6.74,6.82,4.08,4827
3813,Very Good,G,SI1,60.9,0.75,58.0,5.84,5.88,3.57,2545
3814,Fair,H,SI1,65.3,1.13,59.0,6.52,6.44,4.23,5771
3815,Very Good,I,SI2,61.4,2.18,59.5,8.31,8.37,5.12,14735
3816,Ideal,E,SI1,61.9,0.7,56.0,5.7,5.73,3.54,3330
3817,Premium,E,SI1,61.8,0.59,60.0,5.39,5.33,3.31,1789
3818,Ideal,E,VVS2,60.8,0.43,57.0,4.87,4.9,2.97,1062
3819,Premium,G,VS2,58.7,0.7,53.0,5.86,5.83,3.43,2586
3820,Very Good,D,SI2,62.8,1.0,58.0,6.33,6.37,3.99,4753
3821,Ideal,D,SI2,61.9,0.51,56.0,5.1,5.15,3.17,1264
3822,Ideal,I,SI1,62.3,1.35,57.0,7.11,7.05,4.41,6199
3823,Very Good,E,VVS2,62.5,0.3,61.0,4.23,4.28,2.66,688
3824,Very Good,G,SI1,59.7,1.05,58.0,6.6,6.66,3.96,5019
3825,Very Good,I,VS1,60.8,1.1,58.3,6.63,6.68,4.04,5196
3826,Very Good,I,VS2,61.1,0.71,60.0,5.72,5.77,3.51,2384
3827,Good,H,SI1,64.4,0.9,58.0,6.04,6.08,3.9,3465
3828,Ideal,F,VVS2,61.2,0.72,56.0,5.78,5.81,3.55,3816
3829,Ideal,E,VS1,61.6,0.33,56.0,4.46,4.43,2.74,1002
3830,Premium,G,SI1,63.0,1.15,59.0,6.68,6.63,4.19,5384
3831,Premium,H,I1,62.8,0.9,61.0,6.09,6.07,3.82,1939
3832,Very Good,D,SI2,63.1,1.01,54.0,6.39,6.35,4.02,5703
3833,Ideal,D,SI1,61.7,1.0,57.0,6.39,6.42,3.95,5489
3834,Ideal,F,I1,61.8,1.06,55.0,6.55,6.58,4.06,3544
3835,Ideal,J,VS1,62.1,1.59,55.0,7.47,7.51,4.65,8925
3836,Ideal,H,SI1,64.2,1.16,59.0,6.66,6.61,4.26,5411
3837,Fair,H,SI2,64.9,1.52,58.0,7.16,7.13,4.64,6129
3838,Very Good,F,SI1,61.2,0.64,58.0,5.54,5.6,3.41,1725
3839,Very Good,F,VVS1,59.7,0.27,59.0,4.19,4.22,2.51,544
3840,Premium,E,SI1,61.9,0.91,61.0,6.12,6.1,3.78,4138
3841,Ideal,G,IF,62.2,0.6,55.0,5.36,5.44,3.36,2533
3842,Premium,G,IF,62.5,0.38,60.0,4.64,4.61,2.89,1227
3843,Premium,I,SI1,60.0,0.95,60.0,6.39,6.37,3.83,3878
3844,Good,J,SI2,61.1,1.21,60.8,6.83,6.89,4.18,4824
3845,Ideal,F,SI1,63.0,1.69,57.0,7.62,7.55,4.78,13872
3846,Very Good,I,SI2,62.7,1.5,57.0,7.28,7.35,4.59,7392
3847,Good,E,SI1,63.6,0.7,62.0,5.6,5.57,3.55,2407
3848,Very Good,E,VVS2,60.5,0.4,58.0,4.76,4.8,2.89,1205
3849,Premium,H,VS2,58.0,0.81,59.0,6.17,6.13,3.57,2795
3850,Very Good,G,VS2,60.0,0.7,58.0,5.73,5.77,3.45,2527
3851,Good,H,SI1,60.3,1.01,64.0,6.52,6.49,3.92,4320
3852,Premium,E,SI2,60.9,1.09,59.0,6.75,6.61,4.07,5127
3853,Premium,F,VS1,61.3,1.09,60.0,6.67,6.61,4.07,7588
3854,Very Good,G,SI2,60.3,0.74,57.0,5.85,5.87,3.54,2505
3855,Premium,F,SI1,60.6,1.0,62.0,6.43,6.4,3.89,5410
3856,Good,J,SI2,63.7,1.5,58.0,7.19,7.13,4.56,5107
3857,Ideal,G,VS1,61.6,0.52,54.0,5.21,5.24,3.22,1721
3858,Very Good,G,SI1,62.2,0.54,57.0,5.17,5.22,3.23,1241
3859,Premium,E,VVS2,59.9,0.32,58.0,4.5,4.45,2.68,1080
3860,Ideal,F,VVS2,62.0,0.39,54.0,4.7,4.72,2.92,988
3861,Very Good,D,SI2,59.4,1.0,60.0,6.48,6.56,3.87,4543
3862,Ideal,I,SI1,61.9,0.71,56.0,5.71,5.74,3.54,2660
3863,Premium,J,SI1,62.2,2.0,59.0,7.97,7.92,4.94,12308
3864,Ideal,E,SI2,61.6,1.04,55.0,6.51,6.54,4.02,5163
3865,Very Good,F,VS2,62.3,0.8,57.0,5.91,5.94,3.69,3653
3866,Premium,G,SI1,62.7,0.9,59.0,6.1,6.14,3.84,3841
3867,Very Good,H,SI1,60.2,1.01,60.0,6.5,6.48,3.91,4617
3868,Fair,I,VS1,57.6,1.03,58.0,6.67,6.58,3.81,4328
3869,Ideal,D,VS2,62.1,0.32,54.0,4.4,4.46,2.75,758
3870,Premium,G,VS2,61.8,1.54,58.0,7.43,7.39,4.58,13120
3871,Very Good,J,SI2,63.4,1.77,60.0,7.65,7.61,4.84,8257
3872,Premium,E,VS1,59.6,0.39,60.0,4.75,4.72,2.82,1097
3873,Ideal,E,VVS2,61.7,1.03,54.0,6.49,6.52,4.02,9932
3874,Fair,H,I1,66.9,0.85,54.0,5.98,5.75,3.94,1250
3875,Ideal,D,VVS2,62.0,0.91,54.0,6.2,6.25,3.86,8707
3876,Premium,F,VVS2,61.7,0.68,57.0,5.67,5.64,3.49,2854
3877,Good,F,SI1,58.1,1.0,64.0,6.56,6.6,3.82,4608
3878,Premium,H,VS2,61.4,0.72,57.0,5.79,5.75,3.54,2484
3879,Ideal,E,VS2,61.8,0.61,56.0,5.42,5.46,3.36,2556
3880,Ideal,I,VVS2,61.4,0.86,58.0,6.07,6.1,3.74,3544
3881,Premium,F,SI1,61.9,1.01,56.0,6.53,6.45,4.02,5599
3882,Premium,D,SI2,62.3,0.41,61.0,4.75,4.72,2.95,818
3883,Ideal,I,VS1,61.5,0.42,55.0,4.83,4.86,2.98,771
3884,Good,H,VS2,63.9,0.7,59.0,5.64,5.6,3.59,2351
3885,Ideal,F,VS1,62.3,0.62,56.0,5.43,5.46,3.39,2073
3886,Ideal,H,SI2,62.6,1.1,56.0,6.57,6.65,4.14,4537
3887,Good,H,VS2,63.6,0.9,58.0,6.11,6.09,3.88,3881
3888,Very Good,G,SI1,61.4,0.51,54.0,5.2,5.22,3.2,1237
3889,Premium,F,VVS1,59.4,1.14,59.0,6.87,6.8,4.06,11549
3890,Premium,F,VS1,62.7,1.26,58.0,6.86,6.93,4.32,9896
3891,Very Good,E,VS1,61.0,0.66,57.8,5.64,5.69,3.45,2618
3892,Very Good,D,SI1,63.3,0.71,59.0,5.55,5.66,3.55,2525
3893,Very Good,I,SI1,62.8,0.5,60.0,5.04,5.08,3.18,1054
3894,Premium,J,SI2,61.9,1.01,59.0,6.38,6.34,3.94,3658
3895,Ideal,E,VVS1,60.1,0.3,57.0,4.38,4.41,2.64,895
3896,Ideal,G,SI2,61.0,1.01,56.0,6.48,6.54,3.97,4383
3897,Premium,D,VS2,62.0,1.22,60.0,6.74,6.79,4.22,9581
3898,Ideal,G,SI2,62.7,1.05,57.0,6.45,6.51,4.06,5127
3899,Ideal,G,VS2,61.3,1.29,57.0,6.99,7.07,4.31,9243
3900,Premium,H,VS2,62.2,0.71,59.0,5.68,5.64,3.52,2352
3901,Premium,I,SI1,61.9,1.01,58.0,6.48,6.42,3.99,4355
3902,Ideal,G,VVS1,62.3,0.31,56.0,4.34,4.37,2.71,772
3903,Ideal,G,SI1,61.3,0.43,55.0,4.88,4.9,3.0,917
3904,Very Good,E,SI1,62.9,1.01,59.0,6.3,6.38,3.99,4766
3905,Ideal,G,VS2,61.4,0.31,57.0,4.33,4.37,2.67,544
3906,Ideal,G,SI1,61.8,1.2,59.0,6.77,6.8,4.19,6762
3907,Ideal,G,VVS2,61.9,0.73,56.0,5.81,5.75,3.58,3127
3908,Ideal,G,VS2,62.0,0.32,57.0,4.41,4.39,2.73,720
